"n"	"n.juveniles"	"nadult.1"	"nadult.2"	"phenotypes"	"ho"	"fis"	"ne1"	"ne2"	"ne3"	"ne4"	"inbreed"	"het2"	"F_inbreeding"	"agevals"	"ages"	"k"	"vk"
"Ho26"	27	3869	235	195	0.0339689960629921	0.3044	0.0028	4450.77345731363	299.411196939968	4788.49379460919	77.3686203306112	0.000417570383836274	0.304404527559055	0	"0/1/2/3/4"	"1901/1436/482/208/37"	2.09677419354839	2.95792426367461
"Ho27"	28	4297	367	304	0.0187350575961747	0.3036	0.0028	4426.1235696823	296.402272566175	4759.09545417945	86.6747424950297	0.000226296013095206	0.303644859813084	0	"0/1/2/3/4/5"	"3109/654/475/329/33/1"	2.81481481481481	4.73174108688127
"Ho28"	29	4813	366	300	0.0390377469196167	0.3014	0.0093	4421.37853013039	298.452689226932	4755.63246235056	108.954097949083	0.000967368326111995	0.301369059260708	0	"0/1/2/3/4"	"3285/1205/261/329/33"	2.34375	3.28248031496063
"Ho29"	30	4011	223	185	0.0388465204957102	0.3014	0.0045	4433.81882218625	300.364201765253	4769.07582372611	90.0399384290626	0.00235538258395196	0.301384652049571	0	"0/1/2/3/4"	"2231/1267/465/193/40"	2.03296703296703	2.05445665445665
"Ho30"	31	4257	355	289	0.0231302243730752	0.3058	9e-04	4418.29370177523	296.930451782894	4749.07021314328	110.517161150493	0.00337089220097031	0.305783106027277	0	"0/1/2/3/4/5"	"2873/852/473/318/28/2"	2.17293233082707	3.11380724538619
"Ho31"	32	3785	367	318	0.0275530099926883	0.3027	0.0059	4412.90013370042	298.505561560277	4744.52154222132	121.307000231348	0.00170187125648535	0.302668778942237	0	"0/1/2/3/4/5/6"	"2623/875/237/331/35/1/1"	2.32116788321168	2.9990339201374
"Ho32"	33	3912	197	163	0.0342944785276074	0.3023	0.0014	4390.14113267523	300.256746611957	4723.45677004823	72.0319904111429	0.00184938973053894	0.302319018404908	0	"0/1/2/3/4/5"	"2245/1231/394/173/29/3"	1.85227272727273	2.58712121212121
"Ho33"	34	4698	299	248	0.0225940153659523	0.3044	0.0021	4373.94108662104	295.562269096475	4702.14901768136	100.290907510305	0.000666212070899785	0.304446016983421	0	"0/1/2/3/4/5/6"	"3124/968/549/277/26/1/1"	2.19469026548673	2.78318584070796
"Ho34"	35	4012	420	358	0.0391762013729977	0.3033	0.0043	4382.83283057089	295.662250136638	4710.32359029338	97.7597759588859	0.00117072716170208	0.303270022883295	0	"0/1/2/3/4"	"2841/865/260/371/33"	2.57553956834532	5.34751329371286
"Ho35"	36	4587	211	171	0.0436843211433375	0.2985	0.0096	4371.28876714145	298.184398240144	4701.88724334442	81.6458362589524	0.000390224313563614	0.298461538461538	0	"0/1/2/3/4"	"2437/1607/489/194/31"	2.11111111111111	2.05
