"n"	"n.juveniles"	"nadult.1"	"nadult.2"	"phenotypes"	"ho"	"fis"	"ne1"	"ne2"	"ne3"	"ne4"
"Ho"	72	1355	475	469	0.227247807017544	0.3568	0.0013	1452.06317957845	457.67512732377	1934.21450756658	869.955705381247
"Ho"	73	1312	517	515	0.254926108374384	0.3568	8e-04	1450.619946856	457.907091711531	1932.68586529478	796.375993745727
"Ho"	74	1674	476	470	0.276935634328358	0.3559	0.0034	1448.52344832373	458.625183333309	1931.18615583746	671.121478260296
"Ho"	75	1383	509	503	0.310312831389183	0.3562	0.0011	1451.16482874852	458.851519383346	1933.84581792065	768.864385183702
"Ho"	76	1544	535	533	0.310423688011555	0.3553	0.0022	1450.21179487388	459.455081249391	1933.27570162044	969.998228579648
"Ho"	77	1449	440	434	0.288900690387679	0.3574	-0.0027	1451.37181632895	460.31032241779	1935.06037362411	823.11175780997
"Ho"	78	1809	513	509	0.289150129421915	0.3583	-0.0046	1451.34096375533	460.034541725176	1934.44779507161	1033.12147446083
"Ho"	79	1437	491	487	0.316528066528067	0.3564	0.001	1455.02910643165	460.644284205674	1938.59600481637	804.144497124258
"Ho"	80	1543	436	432	0.320759493670886	0.3584	-0.0047	1454.79806330277	461.005060162415	1938.46115041431	726.367151396492
"Ho"	81	1498	430	430	0.30121887966805	0.3593	-0.0047	1455.83830761782	460.674807831992	1938.95763292969	780.632243622056
"Ho"	82	1727	508	505	0.30880376344086	0.3585	-0.0017	1456.34434811963	460.269448174407	1938.82159420636	830.835666018159
"Ho"	83	1319	483	479	0.292825361512792	0.3601	-0.0034	1459.13307390449	460.797442129484	1941.95995074221	840.793361428683
"Ho"	84	1449	441	433	0.310308182784272	0.3616	-0.0081	1457.26773773716	461.052787765487	1940.14441434581	819.375779631311
"Ho"	85	1569	525	521	0.309688995215311	0.3601	-0.0059	1457.16875741309	460.803344086063	1939.5318123879	835.253170465249
"Ho"	86	1642	520	515	0.31583217431618	0.3585	-1e-04	1458.39167011617	461.467201815374	1941.2164923887	858.506541243995
"Ho"	87	1506	416	411	0.311554512258738	0.3584	-7e-04	1460.29038608177	462.071995349599	1943.52431522416	672.993268600177
"Ho"	88	1549	498	495	0.305528375733855	0.3576	-0.0027	1460.80001503492	461.484530905474	1943.27417082345	744.563440527589
"Ho"	89	1319	551	546	0.289812332439678	0.3565	-2e-04	1461.74583022543	461.869374298658	1944.39379076723	816.58212799683
"Ho"	90	1579	445	440	0.289747399702823	0.3562	-0.0016	1459.97052628493	462.710371564836	1943.52503997005	884.944431907733
"Ho"	91	1538	583	574	0.314038825757576	0.3565	-0.0029	1461.19440356909	462.505848458042	1944.38403331307	1148.89987467865
"Ho"	92	1651	514	506	0.317454798331015	0.358	-0.0043	1461.99671232936	463.558684497066	1946.16488410571	1046.08743204785
"Ho"	93	1606	451	449	0.320802919708029	0.3583	-0.0037	1463.81818053488	464.053682767722	1948.30544866368	803.549558136775
"Ho"	94	1509	511	505	0.342229394240318	0.3603	-0.0078	1465.21299466929	463.909302898065	1949.41307789652	847.38139797738
"Ho"	95	1264	454	447	0.325540619520748	0.3616	-0.0119	1465.66543675643	464.364548146882	1950.13803176917	822.76540193266
"Ho"	96	1466	525	520	0.330186304128902	0.3603	-0.0058	1463.20808750566	464.252983750814	1947.36823684465	1005.93508881878
"Ho"	97	1410	582	574	0.323840725806452	0.3586	2e-04	1463.23711511752	464.813222170656	1947.81287579319	1102.61272198613
"Ho"	98	1681	492	486	0.315182279649285	0.359	-0.002	1462.66777818044	465.780084878773	1948.25841018	1142.93542699675
"Ho"	99	1687	440	435	0.317153628652215	0.3582	-4e-04	1464.6088683255	466.033514428963	1950.31668225671	881.024696555251
"Ho"	100	1564	463	458	0.306379821958457	0.3564	0.0026	1466.56171222899	465.755157137785	1951.95448860002	810.238799386506
"Ho"	101	998	588	586	0.315814393939394	0.3557	0.0014	1467.47595995842	465.72744326544	1952.67742730811	896.465847728018
"Ho"	102	1369	526	524	0.323296354992076	0.3551	0.0025	1460.67274225712	466.68829682594	1948.21781475676	829.500829416272
"Ho"	103	1619	516	512	0.342914124824026	0.3536	0.0034	1459.7144355983	467.204786642291	1947.68156685553	1005.09581833914
"Ho"	104	1451	446	440	0.351533580116341	0.3569	-0.0038	1461.11008162218	467.63412183361	1949.34204614315	1108.71711648653
"Ho"	105	1429	505	498	0.386481577581733	0.357	-0.0021	1461.01219851386	467.416112668198	1948.82500765893	943.542772017048
"Ho"	106	1572	470	462	0.410766961651917	0.3554	0.0027	1460.70055709827	467.747650150196	1948.68274520449	668.845907771052
"Ho"	107	1247	458	455	0.417156286721504	0.3553	-5e-04	1461.6768630933	467.768797861589	1949.52322787865	696.923829344127
"Ho"	108	1578	468	462	0.391421568627451	0.3549	-0.0013	1459.32891658966	467.675571968283	1946.91371968593	793.631929841561
"Ho"	109	1667	554	545	0.397377938517179	0.3552	-0.0035	1460.34579694616	467.678573868394	1947.78714472038	993.81847013495
"Ho"	110	1287	491	486	0.453468697123519	0.3551	-0.0021	1462.00856649409	468.348074642234	1949.98783018253	885.065523071276
"Ho"	111	1592	508	498	0.454784688995215	0.3563	-0.005	1460.20346572891	468.544583380051	1948.27456954332	943.592995284316
"Ho"	112	1435	478	471	0.439926547743966	0.3561	-0.0042	1461.29333736987	468.872659675171	1949.5435327853	818.894223067779
"Ho"	113	1700	510	504	0.434097096188748	0.3556	-0.0019	1461.05431301716	468.952611297995	1949.21107507664	1004.84367816092
"Ho"	114	1804	458	457	0.478549314462627	0.3561	-0.004	1462.87392475542	469.286864296981	1951.24873198238	788.300244082727
"Ho"	115	1561	505	498	0.467095677513356	0.3565	-0.0018	1465.30445709334	469.185438717097	1953.60297757503	727.027498799145
"Ho"	116	1432	480	475	0.478762454116413	0.3579	-0.0039	1466.08599565726	469.474961571716	1954.52760859255	808.903130174238
"Ho"	117	1431	409	406	0.512792596624932	0.3529	0.0016	1465.78521817832	469.563721920454	1954.15290864833	760.099418280028
"Ho"	118	1666	403	397	0.532840523509452	0.3516	0.0072	1465.4807447813	468.970183797442	1953.11726197244	923.421819202502
"Ho"	119	1629	497	488	0.529286726499764	0.3543	0.0041	1466.97705761329	468.320497350742	1954.04475522007	812.893186324266
"Ho"	120	1630	450	446	0.509513487475915	0.3561	-0.001	1468.20419992619	468.547704545741	1955.37378586105	665.030077532843
"Ho"	121	1638	492	487	0.504352941176471	0.3554	0.0013	1469.41966992178	468.386824907936	1956.35059903688	593.89459317528
"Ho"	122	1518	478	470	0.543636820925553	0.3551	0.001	1470.67057119389	468.572682745755	1957.66960790157	647.491361166279
"Ho"	123	1440	446	441	0.534024455077087	0.3568	5e-04	1471.04651771234	468.648444073057	1957.97780649976	682.290051706064
"Ho"	124	1515	486	479	0.560682046138415	0.3584	-0.0019	1470.78871019347	468.455039687788	1957.37047635037	737.637587522044
"Ho"	125	1700	595	590	0.55382096069869	0.3579	-0.0013	1471.13492957341	468.591463068615	1957.71471616799	991.934146595637
"Ho"	126	1833	520	520	0.569060773480663	0.3581	-0.0052	1472.72106797784	469.389241990718	1960.01915404752	837.241892124763
"Ho"	127	855	336	336	0.492653232577666	0.3557	-0.0014	1475.02200300478	469.752100810902	1962.62060273763	711.135676125937
"Ho"	128	765	324	324	0.47910927456382	0.3546	0.0016	1466.6474238874	468.284299703336	1952.65933040335	768.081048805622
"Ho"	129	923	381	381	0.511119631901841	0.3556	-0.003	1456.21290556812	466.660750811797	1940.63534179673	990.084074270261
"Ho"	130	954	305	305	0.49801429706116	0.3543	-3e-04	1449.7206803819	465.848832750834	1933.31844655476	925.388330685145
"Ho"	131	791	305	305	0.55360401459854	0.3566	-0.0036	1443.94906762396	463.966651305744	1925.38587971035	1051.84377768946
"Ho"	132	825	256	256	0.563367252543941	0.3537	0.0086	1434.90725798855	462.128009280717	1914.3275119639	740.326903019832
"Ho"	133	784	251	251	0.552657004830918	0.356	4e-04	1426.91564907297	459.326163056716	1903.21266686803	680.677165266198
"Ho"	134	1117	281	281	0.568490701001431	0.3558	-0.0023	1418.17155015223	456.47752121755	1891.28402824273	801.39852912852
"Ho"	135	980	254	254	0.604740680713128	0.3558	0	1415.32373522082	454.36008399231	1886.31696425649	641.223150709143
"Ho"	136	809	291	291	0.575681818181818	0.3561	0.0011	1410.68198653159	451.720632726224	1878.95951682282	679.22537163046
"Ho"	137	954	262	262	0.575246710526316	0.3538	0.0042	1403.00942872422	449.893586489111	1869.22655017605	454.853053964755
"Ho"	138	952	301	301	0.588188347964884	0.3526	0.0046	1398.20593023173	447.550801476976	1861.92572350341	577.715161681462
"Ho"	139	905	305	305	0.599173553719008	0.3515	0.0041	1393.47313295109	445.977342548019	1855.39186370611	600.891029802507
"Ho"	140	838	297	297	0.579515418502203	0.3556	-0.0033	1388.08308332663	444.499236142171	1848.29942414351	569.702357058648
"Ho"	141	1062	294	294	0.551438053097345	0.3535	0.0013	1381.60509499901	442.928010955018	1840.03951773444	565.627072971331
"Ho"	142	792	307	307	0.56869881710646	0.3549	-0.002	1378.66251666687	441.342440159365	1835.3929627618	571.775010747337
"Ho"	143	929	299	299	0.594462540716612	0.3529	0.0022	1371.50811700519	439.986545628535	1826.77294494011	585.126488466777
"Ho"	144	902	278	278	0.576271186440678	0.3543	-0.0033	1366.95484433664	438.540506124438	1820.56519804886	474.280063526807
"Ho"	145	870	256	256	0.561056838365897	0.3516	0.0019	1362.07906474558	436.788849873732	1813.72779864592	452.212423733534
"Ho"	146	811	291	291	0.598911070780399	0.3531	0.0013	1356.78658536401	434.671828860473	1806.12003874919	489.624535427454
"Ho"	147	840	301	301	0.569237510955302	0.3536	-7e-04	1350.56124029984	433.206884517077	1798.25026247384	506.298066162121
"Ho"	148	746	280	280	0.607212475633528	0.3528	0.0053	1344.99997648225	431.916349228729	1791.23119474534	564.96001992263
"Ho"	149	953	268	268	0.581285831285831	0.3542	-0.002	1337.74228143192	430.338755294463	1782.24962757394	532.910810309661
"Ho"	150	1103	238	238	0.538031319910515	0.3537	-9e-04	1334.12744985956	428.596348259998	1776.76831039803	541.051022653323
"Ho"	151	978	264	264	0.522342995169082	0.3558	-0.0042	1332.2663237312	426.320295277672	1772.92746721213	641.491393604515
"Ho"	152	866	295	295	0.504306632213609	0.3559	-0.0048	1329.07798442883	424.591421983753	1767.92251566278	460.352194952669
"Ho"	153	775	309	309	0.549584870848708	0.3584	-0.0124	1324.41871351905	423.367852802956	1761.86311590215	439.765165079282
"Ho"	154	882	304	304	0.549747048903879	0.3563	-0.0035	1318.31030658115	422.346154665412	1754.69141708975	425.585903917445
"Ho"	155	1020	295	295	0.532319391634981	0.3564	-0.0042	1314.08915452205	421.281198030506	1749.24486237336	503.251300099712
"Ho"	156	860	278	278	0.517794376098418	0.3595	-0.0123	1311.64929473635	420.120927411998	1745.52605593681	548.920102526012
"Ho"	157	893	281	281	0.547700170357751	0.3593	-0.009	1307.24844620643	418.748649547531	1739.57298984282	633.168090613051
"Ho"	158	1043	265	265	0.54434250764526	0.3582	-0.0124	1303.39733017434	417.445240021204	1734.25150302274	634.594508152635
"Ho"	159	822	292	292	0.523563734290844	0.3571	-0.0094	1301.34103121822	415.930869797214	1730.68191293138	573.03204390723
"Ho"	160	828	259	259	0.583026678932843	0.3573	-0.0071	1296.58574233245	414.823575781555	1724.67727622141	456.725033365151
